col_0,col_1,N,(%)
,009: LJP,5,.0
,010: RJD,256,1.1
,011: CPI(ML)(L),3,.0
,012: AAP,67,.3
,013: INLD,17,.1
,014: JMM,35,.1
,015: JD-S,18,.1
,016: IUML,5,.0
,017: SP,493,2.0
,018: Shiv Sena,165,.7
,019: AIFB,1,.0
,020: RSP,0,.0
,021: AIMIM,3,.0
,022: TDP,360,1.5
,023: YSRCP,220,.9
,024: Jana Sena,1,.0
,026: AGP,10,.0
,027: AIUDF,13,.1
,028: BPF,2,.0
,030: RLSP,16,.1
,034: MGP,0,.0
,036: BTP,13,.1
,037: JJP,2,.0
,039: National Conference,24,.1
,040: PDP,12,.1
,041: Panthers Party,0,.0
,042: People’s Conference,2,.0
,043: AJSUP,1,.0
,044: JVM-P,1,.0
,045: UDF,82,.3
,046: LDF,76,.3
,048: SDPI,0,.0
,052: JAYS,2,.0
