col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,09: Insensitive to state level problems,,133,,,.7,,
,,10: Unsatisfactory initiatives/pace of development,,206,,,1.0,,
,,11: Lack of improvement in public infrastructure,,115,,,.6,,
,,12: Unsatisfactory economic growth,,97,,,.5,,
,,13: Unsatisfactory initiatives to supply drinking water,,126,,,.6,,
,,14: Supply of electricity has not improved,,83,,,.4,,
,,15: Lack of improvements in health sector,,104,,,.5,,
,,16: Lack of improvements in educational sector,,136,,,.7,,
,,17: Lack of improvements in agricultural sector,,271,,,1.4,,
,,18: Deteriorating law and order situation,,50,,,.3,,
,,19: Reduction of civil liberties,,48,,,.2,,
,,20: Unsatisfactory service delivery,,87,,,.4,,
,,21: Dictatorial government,,154,,,.8,,
,,22: Abrogation of Article 370,,75,,,.4,,
,,23: Increase in terrorism,,21,,,.1,,
,,24: Misuse of sedition laws,,21,,,.1,,
,,96: Liked every work,,1207,,,6.1,,
,,97: Any other,,449,,,2.3,,
,,98: Don’t know/Can’t Say,,2077,,,10.6,,
,,Total,,19663,,,100.0,,
