col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,"01: Up to 2,000",,461,,4.6,,
,,"02: 2,001 to 5,000",,1833,,18.3,,
,,"03: 5,001to 10,000",,3319,,33.1,,
,,"04: 10,001 to 30,000",,3073,,30.7,,
