col_0,col_1,N,(%),Valid (%)
,28: Class IV Employee,116,.5,.9
,"29: Other administrative, managerial and clerical workers",71,.3,.5
,30: Big businessmen,58,.2,.4
,31: Medium businessmen,231,1.0,1.7
,32: Small businessmen,964,4.0,7.2
,33: Petty shopkeeper,319,1.3,2.4
,"34: Hawkers, Vendors",51,.2,.4
,35: Sales executives,52,.2,.4
,36: Salespersons,86,.4,.6
,37: Shop Assistants,142,.6,1.1
,38: Rentier,6,.0,.0
,39: Other businessmen,77,.3,.6
,40: Waiters,31,.1,.2
,41: Dhobi,35,.1,.3
,"42: Barbers, beauticians",61,.3,.5
,"43: Ayahs, maids, domestic servants",10,.0,.1
,"44: Chowkidars, caretakers",32,.1,.2
,"45: Sweepers, scavengers",23,.1,.2
,49: Other service workers,134,.6,1.0
,"50: Mechanics, machine tool operators, drivers",379,1.6,2.8
,"51: Electricians, Plumbers",135,.6,1.0
,52: Jewellers,29,.1,.2
,53: Tailors,146,.6,1.1
,54: Weavers,31,.1,.2
,55: Shoemakers,14,.1,.1
,56: Blacksmiths,8,.0,.1
,57: Carpenters,118,.5,.9
,59: Other skilled workers,160,.7,1.2
,60: Miners,6,.0,.0
,"61: Masons, bricklayers",148,.6,1.1
,62: Potters,9,.0,.1
,63: Stone-cutter and carvers,15,.1,.1
