col_0,col_1,N,(%)
,01: K. Chandrashekar Rao (TRS.),299,37.4
,02: M B Vikramarka (Cong),17,2.1
,03: Asaddudin Owaisi (AIMIM),5,.6
,04: Akbaruddin Owaisi (AIMIM),3,.3
,06: T Harish Rao (TRS),17,2.1
,07: K T Rama Rao (TRS),39,4.8
,09: N. Uttam Kumar Reddy (Cong),17,2.1
,10: K.Jana Reddy (Cong),18,2.2
,11: Revanth Reddy (Cong),44,5.5
,14: K Laxman (BJP),19,2.3
,25: Other Cong leaders,22,2.8
,26: Other BJP leaders,18,2.2
,29: Left leaders,1,.1
,95: Other leaders,15,1.8
,97: Can’t say,235,29.4
,98: No response,34,4.2
,Total,800,100.0
