col_0,col_1,N,(%),Valid (%)
Valid,001: INC,1338,5.5,19.2
,002: BJP,2868,11.8,41.2
,003: BSP,216,.9,3.1
,004: CPI(M),149,.6,2.1
,005: CPI,21,.1,.3
,006: NCP,128,.5,1.8
,007: AITC,162,.7,2.3
,008: JD-U,47,.2,.7
,009: LJP,10,.0,.2
,010: RJD,100,.4,1.4
,011: CPI(ML)(L),2,.0,.0
,012: AAP,57,.2,.8
,013: INLD,5,.0,.1
,014: JMM,11,.0,.2
,015: JD-S,17,.1,.2
,016: IUML,8,.0,.1
,017: SP,349,1.4,5.0
,018: Shiv Sena,137,.6,2.0
,020: RSP,0,.0,.0
,021: AIMIM,9,.0,.1
,022: TDP,131,.5,1.9
,023: YSRCP,113,.5,1.6
,024: Jana Sena,20,.1,.3
,026: AGP,8,.0,.1
,027: AIUDF,3,.0,.0
,028: BPF,2,.0,.0
