col_0,col_1,N,(%),Valid (%)
,030: RLSP,2,.0,.0
,034: MGP,0,.0,.0
,035 GFP,0,.0,.0
,036: BTP,10,.0,.1
,037: JJP,5,.0,.1
,039: National Conference,25,.1,.4
,040: PDP,4,.0,.1
,041: Panthers Party,2,.0,.0
,042: People’s Conference,8,.0,.1
,043: AJSUP,4,.0,.1
,045: UDF,39,.2,.6
,046: LDF,39,.2,.6
,047: KC-M,0,.0,.0
,048: SDPI,4,.0,.1
,053: MNS,7,.0,.1
,054: BBM,13,.1,.2
,060: NPF,2,.0,.0
,061: NPP,1,.0,.0
,064: UDP,2,.0,.0
,070: BJD,49,.2,.7
,071: SAD,36,.2,.5
,072: LIP,2,.0,.0
,074: SAD-T,2,.0,.0
,075: SAD(Amritsar),2,.0,.0
,077: RLP,2,.0,.0
,078: BVP,1,.0,.0
,082: TRS,135,.6,1.9
,083: AIADMK,76,.3,1.1
,084: AMMK,29,.1,.4
,085: DMK,112,.5,1.6
,087: PMK,43,.2,.6
,088: VCK,8,.0,.1
,089: MDMK,1,.0,.0
