col_0,col_1,N,(%),Valid (%)
,003: BSP,183,.8,4.4
,004: CPI(M),52,.2,1.2
,005: CPI,5,.0,.1
,006: NCP,47,.2,1.1
,007: AITC,201,.8,4.9
,008: JD-U,33,.1,.8
,009: LJP,3,.0,.1
,010: RJD,175,.7,4.2
,011: CPI(ML)(L),4,.0,.1
,012: AAP,33,.1,.8
,013: INLD,3,.0,.1
,014: JMM,9,.0,.2
,015: JD-S,18,.1,.4
,016: IUML,2,.0,.0
,017: SP,122,.5,3.0
,018: Shiv Sena,21,.1,.5
,021: AIMIM,13,.1,.3
,022: TDP,34,.1,.8
,023: YSRCP,23,.1,.6
,024: Jana Sena,3,.0,.1
,026: AGP,1,.0,.0
,027: AIUDF,3,.0,.1
,028: BPF,1,.0,.0
,029: HAM,2,.0,.0
,032: JCC-J,1,.0,.0
,035 GFP,0,.0,.0
,037: JJP,1,.0,.0
,039: National Conference,6,.0,.2
,040: PDP,10,.0,.2
,042: People’s Conference,0,.0,.0
,043: AJSUP,1,.0,.0
,045: UDF,1,.0,.0
,046: LDF,5,.0,.1
