col_0,col_1,N,(%),Valid (%)
Valid,1: All elections,3564,35.6,40.8
,2: Most elections,2757,27.5,31.5
,3: Some elections,1311,13.1,15.0
,4: Will be voting for it for first time,560,5.6,6.4
,7: Don’t remember,305,3.0,3.5
,8: Don't know,243,2.4,2.8
,Total,8740,87.3,100.0
Missing,9: Not applicable,1270,12.7,
Total,,10010,100.0,
