col_0,col_1,N,(%)
,07: Mayawati (BSP),452,1.9
,08: P Chidambaram (INC),74,.3
,09: Ghulam Nabi Azad,13,.1
,10: A K Antony,1,.0
,11: Pranab Mukherjee,3,.0
,12: Siddaramaiah,21,.1
,13: Sachin Pilot,31,.1
,14: Jyotiraditya Scindia,56,.2
,15: Any other Congress leader,51,.2
,16: Arun Jaitley,0,.0
,17: Rajnath Singh,20,.1
,18: Sushma Swaraj,2,.0
,19: L K Advani,4,.0
,20: Shivraj Singh Chouhan,3,.0
,21: Raman Singh,2,.0
,23: Nitin Gadkari,14,.1
,24: Any other BJP leader,17,.1
,25: Mulayam Singh Yadav,88,.4
,26: Akhilesh Yadav,236,1.0
,27: Lalu Prasad Yadav,55,.2
,28: Sharad Pawar,110,.5
,29: M K Stalin,7,.0
,30: H D Deve Gowda,13,.1
,31: Uddhav Thackeray,3,.0
,32: Sitaram Yechury,6,.0
,33: Asaduddin Owaisi,6,.0
,34: Parkash Singh Badal,1,.0
,36: Tejaswi Yadav,4,.0
,37: Omar Abdullah,1,.0
,38: Farooq Abdullah,0,.0
,40: N Chandrababu Naidu (Andhra Pradesh),2,.0
,42: Sarabananda Sonowal (Assam),1,.0
,43: Nitish Kumar (Bihar),48,.2
