col_0,col_1,N,(%)
,391: Other Craftsmen,3,.0
,399: Other Artisan OBCs,184,.8
,400: Kewat (Fishermen & Boatmen),281,1.2
,401: Baraba,23,.1
,"403: Bandari Naik, Gabit, Gosavi",1,.0
,404: Meitei/ Meetei Hindu OBC,16,.1
,410: Dhobi (Washermen),162,.7
,420: Nai (Barber),197,.8
,430: Teli (Oil Pressers),291,1.2
,435: Jogi (Mendicants & seek Alms),133,.5
,445: Trader OBCs,149,.6
,455: Ezhavas Toddy Tappers,169,.7
,460: Landless lobourers caste,7,.0
,470: Entertaining Castes,13,.1
,476: Veluthedathu Nair,1,.0
,"478: Barman, Chaudhary",12,.1
,"479: Dugla, Dholi, Mushi, Vaishya",26,.1
,480: Bania Jain,0,.0
,481: Tea Garden Caste/tribes,48,.2
,490: Vagharis/Devipujaks,36,.1
,491: Mirasi,1,.0
,492: Jhimar,2,.0
,499: Other Service OBCs,288,1.2
,500: Chamar,1296,5.3
,501: Satnami,31,.1
,502: Loi,3,.0
,503: Yaithibi,1,.0
,504: Hira,3,.0
,505: Bonia,1,.0
,506: Brittial Bonia,2,.0
,"507: Kandara, Gokha",11,.0
,509: Lambani,31,.1
,510: Balmiki,129,.5
