col_0,col_1,N,(%)
,07: Nitin Gadkari (BJP),39,2.7
,08: Sushil Kumar Shinde (Cong),1,.1
,09: Supriya Sule (NCP),5,.3
,10: Pankaja Munde (BJP),22,1.5
,11: Radhakrishna Vikhe Patil (Cong),2,.1
,12: Raj Thackarey (MNS),5,.4
,13: Milind Deora (Cong),0,.0
,14: Prakash Ambedkar (BBM),105,7.3
,25: Other Cong leaders,15,1.0
,26: Other BJP leaders,30,2.1
,27: Other NCP leader,10,.7
,28: Other Shiv Sena leaders,31,2.2
,95: Other leaders,24,1.7
,97: Can’t say,541,37.6
,98: No response,101,7.0
,Total,1439,100.0
