col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,"05: 30,001 to 50,000",524,,,5.2,,
,,"06: 50,001 to 80,000",149,,,1.5,,
,,"07: 80,000 to 1 lakh",27,,,.3,,
,,08: 1 lakh to 2 lakh,12,,,.1,,
,,09: 2 lakh and above,5,,,.1,,
,,98: No answer,615,,,6.1,,
,,Total,10019,,,100.0,,
