col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
Valid,,01: Congress/INC,,925,,,9.2,,,30.4,,
,,02: BJP/ Bharatiya Janata Party,,1027,,,10.2,,,33.8,,
,,03: BSP/ Bahujan Samaj Party,,29,,,.3,,,1.0,,
,,04: CPI/ Communist Party of India,,9,,,.1,,,.3,,
,,05: CPI-M/ Communist Party of India Marxist,,30,,,.3,,,1.0,,
,,07: NCP (Ajit Pawar)/ Nationalist Congress Party,,7,,,.1,,,.2,,
,,08: NCP (Sharad Pawar)/ Nationalist Congress Party,,1,,,.0,,,.0,,
,,09: JDU/ Janata Dal United,,32,,,.3,,,1.0,,
,,10: AAP/ Aam Admi Party,,43,,,.4,,,1.4,,
,,11: Shivsena (Eknath Shinde Group),,3,,,.0,,,.1,,
,,12: Shivsena (Uddhav Thackeray Group),,7,,,.1,,,.2,,
,,13: All India Trinamool Congress/AITC,,122,,,1.2,,,4.0,,
,,14: All India Majlis-E-Ittehadul Muslimeen/AIMIM,,35,,,.4,,,1.2,,
,,15: Telugu Desam Party/TDP,,1,,,.0,,,.0,,
,,16: YuvajanaShramikaRythu Congress Party/ YSRCP,,2,,,.0,,,.1,,
,,18: All India United Democratic Front /AIUDF,,2,,,.0,,,.1,,
,,19: Rashtriya Janata Dal/ RJD,,22,,,.2,,,.7,,
,,20: Lok Janshakti Party/LJP,,13,,,.1,,,.4,,
,,22: Janta Congress Chhattisgarh (J) / JCC-J,,1,,,.0,,,.0,,
,,23: Indian National Lok Dal / INLD,,1,,,.0,,,.0,,
,,25: Jharkhand Mukti Morcha / JMM,,3,,,.0,,,.1,,
,,28: Indian Union Muslim League / IUML,,5,,,.1,,,.2,,
,,29: Maharashtra Navnirman Sena /MNS,,1,,,.0,,,.0,,
,,30: BJD/Biju Janata Dal,,3,,,.0,,,.1,,
,,33: Bharat Rashtra Samithi /BRS,,7,,,.1,,,.2,,
,,34: All India Anna Dravida MunnetraKazhagam / AIADMK,,14,,,.1,,,.5,,
,,35: Dravida MunnetraKazhagam/ DMK,,27,,,.3,,,.9,,
,,36: Samajwadi Party / SP,,101,,,1.0,,,3.3,,
