col_0,col_1,N,(%)
,42: Bagheli,108,.4
,43: Nimari,165,.7
,48: Oraon,34,.1
,50: Munda,29,.1
,51: Chhattisgarhi,336,1.4
,52: Garhwali,38,.2
,53: Kumaoni,80,.3
,54: Awadhi,132,.5
,56: Madipali,0,.0
,57: Kulvi,15,.1
,61: Gojari,3,.0
,62: Pahari,70,.3
,63: Ladakhi,1,.0
,64: Sadri,54,.2
,66: Thado,12,.0
,67: Tangkhul,5,.0
,69: Ao,6,.0
,70: Sema,7,.0
,72: Bhutia,1,.0
,73: Lepcha,14,.1
,74: Karbi,16,.1
,75: Khasi,50,.2
,76: Lushai,0,.0
,77: Mishing,3,.0
,80: Kamitapuri,8,.0
,81: Tulu,20,.1
,82: Lambani,30,.1
,83: Koshali,2,.0
,84: Kui,22,.1
,85: Other Indian Language,339,1.4
,86: Other South Asian Languages,2,.0
,87: European Languages,2,.0
,88: Don’t Know,800,3.3
