col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Party,,9170,,,46.6,,,49.9,,
,,02: Candidate,,6664,,,33.9,,,36.2,,
,,03: PM candidate,,1763,,,9.0,,,9.6,,
,,97: Other,,155,,,.8,,,.8,,
,,98: No response,,641,,,3.3,,,3.5,,
,,Total,,18393,,,93.5,,,100.0,,
Missing,,99: Not applicable,,1270,,,6.5,,,,,
Total,,,,19663,,,100.0,,,,,
