col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,Valid (%),col_11
Valid,,01: Very certain,,6163,,,61.5,,62.4,,
,,02: Somewhat certain,,2364,,,23.6,,23.9,,
,,03: Not much certain,,567,,,5.7,,5.7,,
,,04: Not certain at all,,237,,,2.4,,2.4,,
