col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Non-literate (Can’t read or write a simple statement in any language),,2864,,,14.6,,
,,02: Less than Primary,,1202,,,6.1,,
,,03: Primary pass (Class 5),,2196,,,11.2,,
,,04: Middle/upper primary completed (Class 8),,2347,,,11.9,,
,,05: High school completed/Matriculation pass (Class 10),,3272,,,16.6,,
,,06: Studying in Class 11 or 12,,707,,,3.6,,
,,07: Intermediate/Higher secondary completed (Class 12),,2524,,,12.8,,
,,08: Diploma/certificate (after Class 10 or 12 grades),,366,,,1.9,,
,,09: Pursuing Graduation,,899,,,4.6,,
,,10: Graduation completed,,2144,,,10.9,,
