col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Brahmin,,580,,,5.8,,
,,02: Rajput,,384,,,3.8,,
,,03: Vaishya,,173,,,1.7,,
,,04: Other Upper caste,,811,,,8.1,,
,,05: Yadav,,538,,,5.4,,
,,06: Other peasant OBC,,1047,,,10.5,,
,,07: Craftsmen OBC,,102,,,1.0,,
,,08: Service OBC,,265,,,2.6,,
,,09: Other OBC,,1663,,,16.6,,
,,10: Jatav,,138,,,1.4,,
,,11: Other Dalit,,853,,,8.5,,
,,12: Meena,,70,,,.7,,
,,13: Santhal,,32,,,.3,,
,,14: Munda,,31,,,.3,,
,,15: Other ST,,595,,,5.9,,
,,"16: Syed, Shaikh Muslim",,344,,,3.4,,
,,17: OBC Muslim/Pasmanda Muslim,,730,,,7.3,,
,,18: Others,,947,,,9.5,,
,,98: No caste (Only when Respondent says so),,116,,,1.2,,
,,99: Answer refused/ failed to ascertain,,599,,,6.0,,
,,Total,,10019,,,100.0,,
