col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,04: Hindutva,,446,,,4.5,,
,,05: Reservation,,149,,,1.5,,
,,06: India‟s international image,,775,,,7.7,,
,,07: Citizenship amendment act,,117,,,1.2,,
,,08: Handling of Corruption/scam,,162,,,1.6,,
,,09: Control over Price rise /inflation,,91,,,.9,,
,,10: Tackling issues of development,,383,,,3.8,,
,,11: Creating better infrastructure for roads or transportation etc.,,491,,,4.9,,
,,12: Economic growth,,155,,,1.5,,
,,13: Good Governance,,201,,,2.0,,
,,14: Drinking water,,136,,,1.4,,
,,15: Electricity,,139,,,1.4,,
,,16: Health services,,106,,,1.1,,
,,17: New Education Policy,,69,,,.7,,
,,18: Alleviating Farmer distress,,64,,,.6,,
,,19: Reducing Communalism/ religious discrimination harmony,,29,,,.3,,
,,20: Controlling Crimes against women,,122,,,1.2,,
,,96: Don‟t like any work,,1026,,,10.2,,
,,97: Other issue not mentioned above,,145,,,1.4,,
,,98: Can‟t say,,1213,,,12.1,,
,,Total,,10019,,,100.0,,
