col_0,col_1,N,(%),Valid (%)
Valid,1: Prefer receiving in bank account,3273,13.5,69.7
,2: Prefers receiving money directly,710,2.9,15.1
,3: Either way not a problem,438,1.8,9.3
,8: Don't know,275,1.1,5.9
,Total,4697,19.4,100.0
Missing,9: N.A.,7344,30.3,
,System,12194,50.3,
,Total,19538,80.6,
Total,,24235,100.0,
