col_0,col_1,col_2,N,col_4,col_5,(%),col_7
,,01: The yatra will help the Congress gain support in the upcoming 2024 Lok Sabha elections,2808,,28.0,,
,,02: The yatra will not help the Congress in garnering any support in the upcoming 2024 Lok Sabha elections,2144,,21.4,,
,,"03: The yatras may not help the Congress, but they have certainly improved the image of Rahul Gandhi as a leader",1706,,17.0,,
,,98: Don‟t know,2073,,20.7,,
,,99: Have not heard about Bharat Jodo Yatras,1288,,12.9,,
,,Total,10019,,100.0,,
