col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Benefitted,,3038,,,15.4,,,53.7,,
,,02: Not benefitted,,1849,,,9.4,,,32.7,,
,,98: Don’t Know,,774,,,3.9,,,13.7,,
,,Total,,5661,,,28.8,,,100.0,,
Missing,,99: Not Applicable,,14002,,,71.2,,,,,
Total,,,,19663,,,100.0,,,,,
