col_0,col_1,col_2,N,col_4,col_5,(%),col_7
,,01: Will foster harmony between Hindus and Muslims,2718,,27.1,,
,,02: It will increase differences among communities,2412,,24.1,,
,,03: It will neither increase harmony nor differences,2634,,26.3,,
,,98: Don‟t know,1965,,19.6,,
