col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
,,37: Rashtriya Lok Dal / RLD,,1,,,.0,,,.0,,
,,96: All parties do,,405,,,4.0,,,13.3,,
,,97: Other regional parties,,26,,,.3,,,.9,,
,,98: Don‟t know,,134,,,1.3,,,4.4,,
,,Total,,3042,,,30.4,,,100.0,,
Missing,,99: Not applicable,,6977,,,69.6,,,,,
Total,,,,10019,,,100.0,,,,,
