col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Unemployment,,2696,,,26.9,,,27.3,,
,,02: Corruption,,802,,,8.0,,,8.1,,
,,03: Price Rise,,2312,,,23.1,,,23.4,,
,,04: Ayodhya Ram Mandir,,746,,,7.4,,,7.5,,
,,05: Hindutva,,231,,,2.3,,,2.3,,
,,06: Reservation,,153,,,1.5,,,1.6,,
,,07: India‟s international image,,179,,,1.8,,,1.8,,
,,08: Development,,1326,,,13.2,,,13.4,,
,,09: Corporate Scam,,59,,,.6,,,.6,,
,,10: Violence in society,,124,,,1.2,,,1.3,,
,,11: Uniform Civil Code,,33,,,.3,,,.3,,
,,12: Citizenship Amendment Act (CAA),,93,,,.9,,,.9,,
,,97: Other answer,,549,,,5.5,,,5.6,,
,,98: Don't know,,578,,,5.8,,,5.8,,
,,Total,,9882,,,98.6,,,100.0,,
Missing,,99: Not applicable,,137,,,1.4,,,,,
Total,,,,10019,,,100.0,,,,,
