col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,1: Up to 25 yrs,,2467,,,12.5,,,12.6,,
,,2: 26-35 yrs,,4988,,,25.4,,,25.5,,
,,3: 36-45 yrs,,4542,,,23.1,,,23.2,,
,,4: 46-55 yrs,,3556,,,18.1,,,18.2,,
,,5: 56 yrs. and above,,4034,,,20.5,,,20.6,,
,,Total,,19586,,,99.6,,,100.0,,
Missing,,98: No answer,,77,,,.4,,,,,
Total,,,,19663,,,100.0,,,,,
