col_0,col_1,col_2,col_3,col_4,N,(%),col_7
,,03: Somewhat worse,,2154,,21.5,
,,04: Much worse,,1309,,13.1,
,,05: Stayed the same,,1355,,13.5,
,,98: Don‟t know,,437,,4.4,
,,Total,,10019,,100.0,
