col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,09: Dealing with corruption,,440,,,2.2,,
,,10: Controlling price rise,,112,,,.6,,
,,11: Taking initiative for development,,984,,,5.0,,
,,12: Creating better infrastructure,,354,,,1.8,,
,,13: Satisfactory economic growth,,93,,,.5,,
,,14: Running the administration efficiently,,135,,,.7,,
,,15: Improving in supply of drinking water,,238,,,1.2,,
,,16: Improvement in electricity supply,,187,,,1.0,,
,,17: Improvement in health sector,,239,,,1.2,,
,,18: Improvement in education sector,,147,,,.7,,
,,19: Improvements in agriculture sector; farmers’ well-being,,169,,,.9,,
,,20: Improved law and order situation,,196,,,1.0,,
,,21: Reducing communalism;,,22,,,.1,,
,,22: Better service delivery,,421,,,2.1,,
,,23: Modi’s leadership,,411,,,2.1,,
,,24: Abrogation of Article 370,,290,,,1.5,,
,,25: Controlling Terrorism,,142,,,.7,,
,,96: Did not like any work,,2790,,,14.2,,
,,97: Any other,,512,,,2.6,,
,,98: Don’t know/Can’t Say,,2373,,,12.1,,
,,Total,,19663,,,100.0,,
