col_0,col_1,N,(%),Valid (%)
,016: IUML,1,.0,.0
,017: SP,93,.4,3.1
,018: Shiv Sena,21,.1,.7
,021: AIMIM,2,.0,.1
,022: TDP,36,.1,1.2
,023: YSRCP,35,.1,1.2
,024: Jana Sena,1,.0,.0
,026: AGP,4,.0,.1
,027: AIUDF,0,.0,.0
,036: BTP,11,.0,.4
,037: JJP,2,.0,.1
,039: National Conference,20,.1,.7
,040: PDP,1,.0,.0
,042: People’s Conference,6,.0,.2
,043: AJSUP,2,.0,.1
,044: JVM-P,3,.0,.1
,045: UDF,4,.0,.1
,046: LDF,9,.0,.3
,055: RPI-A,1,.0,.0
,060: NPF,1,.0,.0
,061: NPP,0,.0,.0
,064: UDP,0,.0,.0
,070: BJD,19,.1,.6
,071: SAD,22,.1,.7
,078: BVP,2,.0,.1
,080: SKM,2,.0,.1
,082: TRS,58,.2,1.9
,083: AIADMK,21,.1,.7
,085: DMK,49,.2,1.6
,087: PMK,32,.1,1.0
,089: MDMK,9,.0,.3
,092: INL,0,.0,.0
,101: RLD,41,.2,1.4
