col_0,col_1,N,(%),Valid (%)
Valid,1: A lot,6574,27.1,53.9
,2: Some,2903,12.0,23.8
,3: Not much,873,3.6,7.2
,4: Not at all,526,2.2,4.3
,8: No response,1317,5.4,10.8
,Total,12194,50.3,100.0
Missing,System,12041,49.7,
Total,,24235,100.0,
