col_0,col_1,N,(%)
,45: Arvind Kejriwal (Delhi),40,.2
,46: Pramod Sawant (Goa),0,.0
,47: Vijaybhai R Rupani (Gujarat),6,.0
,48: Manohar Lal Khattar (Haryana),1,.0
,52: Pinarayi Vijayan (Kerala),4,.0
,55: N Biren Singh (Manipur),1,.0
,56: Conrad Kongkal Sangma (Meghalaya),0,.0
,57: Zoramthanga (Mizoram),2,.0
,59: Naveen Patnaik (Odisha),2,.0
,60: V Narayanasamy (Puducherry),2,.0
,61: Amarinder Singh (Punjab),1,.0
,62: Ashok Gehlot (Rajasthan),26,.1
,63: Pawan Kumar Chamling (Sikkim),3,.0
,64: Edappadi K Palaniswami (Tamil Nadu),1,.0
,65: K Chandrashekar Rao (Telangana),22,.1
,67: Yogi Adityanath (Uttar Pradesh),4,.0
,69: Mamata Banerjee (West Bengal),272,1.1
,80: Any other leader that has not been,134,.6
,90: Anyone can be PM,323,1.3
,98: No response,4599,19.0
,Total,24235,100.0
