col_0,col_1,N,(%)
,04: Paresh Dhanani (Cong),8,1.0
,05: Amit Chavda (Cong),3,.4
,06: Shaktisinh Gohil (Cong),3,.4
,07: Arjun Modhwadia (Cong),1,.2
,08: Bharatsinh Solanki (Cong),20,2.5
,09: Jignesh Mewani (Independent),14,1.7
,10: Hardik Patel (Cong),6,.8
,11: Alpesh Thakore (Cong),5,.6
,12: Ahmed Patel (Cong),8,1.0
,13: Shankarsinh Vaghela (NCP),4,.5
,15: Purshottam Rupala,15,1.9
,19: Kunvarji Bawalia,2,.2
,20: Narendra Modi,33,4.3
,25: Other Cong leaders,39,5.0
,26: Other BJP leaders,46,5.9
,95: Other leaders,14,1.8
,97: Can’t say,149,19.2
,98: No response,82,10.6
,Total,776,100.0
