col_0,col_1,N,(%),Valid (%)
Valid,1: Narendra Modi,5725,23.6,47.5
,2: Priyanka Gandhi,3127,12.9,26.0
,3: Both,287,1.2,2.4
,4: Neither,1259,5.2,10.5
,7: Can't say,1036,4.3,8.6
,8: No response,607,2.5,5.0
,Total,12041,49.7,100.0
