col_0,col_1,N,(%)
,01: Scientists,169,.7
,02: Engineers,292,1.2
,03: Doctors,47,.2
,04: Lawyers,41,.2
,05: Accountants,61,.2
,06: College/Univ. Teachers,99,.4
,07: Writers,46,.2
,08: Modern Artists,23,.1
,09: Other higher professionals,87,.4
,10: Science and engineering technicians,35,.1
,11: Computer operators,55,.2
,12: Alternative doctors,7,.0
,13: Medical technicians,40,.2
,14: School teachers,277,1.1
,15: Nursery teachers,112,.5
,16: Folk and commercial artists,13,.1
,18: Priests,36,.1
,19: Other lower professionals,98,.4
,20: Elected Officials: Top central/state level,4,.0
,21: Elected Officials: District level elected officials,3,.0
,22: Managers,68,.3
,23: Officials Class I,27,.1
,24: Officials Class II,36,.1
,25: Class III Employee (Clerical),156,.6
,26: Superintendents,16,.1
,27: Traditional clerks,9,.0
,28: Class IV Employee,121,.5
