col_0,col_1,N,(%)
,010: Brahmins,1040,4.3
,020: Bhumihars,193,.8
,021: Lohana: Bhatia,9,.0
,022: Tyagis: Tyagis,2,.0
,"025: Warrior, Rajputs",954,3.9
,026: Vaishnab,5,.0
,035: Kayasthas,122,.5
,045: Vaishya,201,.8
,055: Jain,110,.5
,065: Punjabi Khatris,30,.1
,070: Sindhi,11,.0
,075: Varma,2,.0
,076: General Upper Castes of Assam,35,.1
,077: Karana,10,.0
,099: Other Upper Castes,661,2.7
,100: Jat (Hindu Only),314,1.3
,101: Gounder,108,.4
,102: Pillaimar,15,.1
,103: Mahishya,69,.3
,104: Anjana,34,.1
,105: Khandayat,84,.3
,"110: Reddy, Vellala",253,1.0
,"115: Chowdary , Kamma, Naidu",62,.3
,"120: Kurup, Menon,Nambiar, Nair",95,.4
,121: Marathas,496,2.0
,"125: Patel, Kanbi Patel",22,.1
,126: Karwa Patel/Patidar,47,.2
,127: Leuva Patel/Patidar,77,.3
,128: Patidar,21,.1
,130: Raju: Varma,5,.0
,135: Velama,14,.1
