col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Scheduled Caste (SC),,3323,,16.9,,
,,02: Scheduled Tribe (ST),,1594,,8.1,,
,,03: Other Backward Caste (OBC),,7716,,39.2,,
,,04: General,,5272,,26.8,,
,,97: Others,,633,,3.2,,
,,98: Don’t know,,1124,,5.7,,
,,Total,,19663,,100.0,,
