col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,20: Housewife/househusband,,2109,,,21.1,,
,,21: Unemployed or looking for employment,,367,,,3.7,,
,,97: Any other,,445,,,4.4,,
,,98: Did not tell,,470,,,4.7,,
,,Total,,10019,,,100.0,,
