col_0,col_1,N,(%)
,16: Oriya,203,.8
,17: Punjabi,246,1.0
,19: Santhali,2,.0
,21: Tamil,1361,5.6
,22: Telugu,784,3.2
,23: Urdu,66,.3
,30: Haryanavi,8,.0
,31: Marwari,2,.0
,32: Bhojpuri,7,.0
,35: Braj,1,.0
,42: Bagheli,6,.0
,48: Oraon,1,.0
,51: Chhattisgarhi,5,.0
,53: Kumaoni,2,.0
,62: Pahari,1,.0
,65: Nissi/Daffla,0,.0
,66: Thado,6,.0
,67: Tangkhul,1,.0
,69: Ao,3,.0
,70: Sema,2,.0
,72: Bhutia,2,.0
,73: Lepcha,8,.0
,74: Karbi,1,.0
,75: Khasi,8,.0
,76: Lushai,2,.0
,77: Mishing,2,.0
,81: Tulu,0,.0
,82: Lambani,1,.0
,85: Other Indian Language,10,.0
,87: European Languages,1,.0
,88: Don’t Know,1016,4.2
,90: Adivasi other tea tribe language,1,.0
,99: Not Ascertain/Mentioned,10339,42.7
