col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Very likely,,2270,,,22.7,,
,,02: Somewhat,,3262,,,32.6,,
,,03: Not much,,1595,,,15.9,,
,,04: Not at all,,1904,,,19.0,,
,,98: Don‟t know,,989,,,9.9,,
,,Total,,10019,,,100.0,,
