col_0,col_1,N,(%),Valid (%)
Valid,1: Fully support,208,12.9,21.2
,2: Somewhat support,210,13.0,21.3
,3: Somewhat oppose,113,7.0,11.5
,4: Fully oppose,173,10.8,17.6
,8: No response,279,17.3,28.4
,Total,984,61.1,100.0
Missing,9: N.A.,626,38.9,
Total,,1610,100.0,
