col_0,col_1,N,(%),Valid (%)
,74: 10% quota for EWS announced by the government,8,.0,.0
,75: Citizenship Bill,66,.3,.3
,76: Article 370/Article 35A Kashmir issue,12,.1,.1
,77: Religious conversion,4,.0,.0
,78: Population Control,6,.0,.0
,79: Environmental degradation/protection of environment,13,.1,.1
,80: Climate Change,4,.0,.0
,81: Pollution/Air Quality,17,.1,.1
,82: Wildlife protection,3,.0,.0
,83: Women’s safety/rape/sexual harassment/crimes against women,189,.8,.8
,84: Discrimination against women,39,.2,.2
,85: Foreign policy,10,.0,.0
,86: Threat from China,3,.0,.0
,87: Improving India’s image in the world,8,.0,.0
,"88: Natural calamities – floods, drought",11,.0,.0
,89: National Security,156,.6,.7
,90: Within this Paradigm but no clear answer,57,.2,.3
,91: Within this Paradigm but no clear answer,19,.1,.1
,92: Within this Paradigm but no clear answer,41,.2,.2
,93: Within this Paradigm but no clear answer,57,.2,.3
,94: Within this Paradigm but no clear answer,35,.1,.2
,95: Within this Paradigm but no clear answer,28,.1,.1
,96: Within this Paradigm but no clear answer,25,.1,.1
,97: Any other issue not mentioned above,2786,11.5,12.4
,98: No response,4127,17.0,18.4
,102: Within this Paradigm but no clear answer,6,.0,.0
,Total,22381,92.3,100.0
Missing,99: N.A.,1855,7.7,
Total,,24235,100.0,
