col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,96: There is no Change,,1424,,,14.2,,
,,97: Any other,,227,,,2.3,,
,,98: Don‟t know,,886,,,8.8,,
,,Total,,10019,,,100.0,,
