col_0,col_1,N,(%)
,"579: Hadi: Dalai, Mahal",19,.1
,"581: Bhuian, Kami /Lohar",16,.1
,"583: Matang, Sarki",56,.2
,584: Barwala,0,.0
,585: Basith,0,.0
,586: Batwal,0,.0
,"587: Megh, Kabirpanthi",0,.0
,588: Saryara,1,.0
,590: Bagdi Duley,61,.3
,591: Bauri,15,.1
,592: Jalia Kaibartta,22,.1
,594: Kaora,1,.0
,595: Lohar,4,.0
,596: Mal,5,.0
,597: Pod Poundra,69,.3
,598: Sunri,1,.0
,599: Other SC,364,1.5
,600: Tripuris,172,.7
,601: Bhil,153,.6
,602: Gond/Rajgond,259,1.1
,603: Oraon,88,.4
,604 : Kamar,19,.1
,605 : Muria,92,.4
,606 : Munda,31,.1
,607 : Andh/ Kondh,67,.3
,"609: Baiga, Bodo (Plains and Hills)",37,.2
,"610: Bharia, Bhum, Deoris, Hojais (Plain Tribes)",107,.4
,"611: Bhattra, Sonowal, Mikhir, Kachari (PlainTribes)",18,.1
,"612: Bhil, Mina, Tiwa or Lalung (Plain Tribes)",8,.0
,614: Dimasas (Hill Tribes),78,.3
,"615: Hajongs, Jenu KurubaKarku",12,.1
,"616: Chakmas, Garos",54,.2
,"617: Enghi, Engti, Kashi",37,.2
