col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,01: Great deal,5638,,,28.7,,
,,02: Somewhat,8343,,,42.4,,
,,03: Not at all,4439,,,22.6,,
,,98: No response,1242,,,6.3,,
,,Total,19663,,,100.0,,
