col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
,,20: Housewife/househusband,,142,,,1.4,,,2.5,,
,,21: Unemployed or looking for employment,,54,,,.5,,,1.0,,
,,97: Any other,,268,,,2.7,,,4.8,,
,,98: Did not tell,,289,,,2.9,,,5.2,,
,,Total,,5586,,,55.8,,,100.0,,
Missing,,99: Not applicable,,4433,,,44.2,,,,,
Total,,,,10019,,,100.0,,,,,
