col_0,col_1,N,(%),Valid (%)
Valid,1: Up to 25 yrs,1367,13.7,13.7
,2: 26-35 yrs,2664,26.6,26.6
,3: 36-45 yrs,2257,22.5,22.6
,4: 46-55 yrs,1768,17.7,17.7
,5: 56 yrs. and above,1949,19.5,19.5
,Total,10005,100.0,100.0
Missing,98: No answer,5,.0,
Total,,10010,100.0,
