col_0,col_1,N,(%)
,"619 : Gangte, Paroja , Sawar",1,.0
,"620: Hmar, Ho, Saora, Marati",23,.1
,"621: Kabui, Kharia Kabui",55,.2
,622: Bhumij Kacha Naga,5,.0
,"623: Bedia, Bediya",21,.1
,"624: Bhumij, Kharwar",1,.0
,625: Bhutia Sherpa,10,.0
,"626: Kani, Kora, Mahli, Paite",2,.0
,"627: Kharia, Lodha Kheria",5,.0
,"628: Kuruma, Mahali",20,.1
,"629: Kuricha, Thadou",10,.0
,"630: Baiga, Mala Araya",38,.2
,"631: Bhilala, Mala Pandaram, Zou",20,.1
,"632: Kol, Mahadev-Koli, Ulladam",60,.2
,"633: Kadar, Khasi, Korku",31,.1
,"634: Barela, Garo",24,.1
,"637: Irular, Jannsari, Lushais",23,.1
,"638: Hmar, Koravar, Kuruba",1,.0
,647: Angami,3,.0
,648: Ao,5,.0
,649: Chakhesang,0,.0
,650: Chang,2,.0
,652: Konyak,3,.0
,653: Lotha,4,.0
,654: Phom,2,.0
,655: Rengma,0,.0
,657: Sumi,7,.0
,658: Yimchungru,5,.0
,659: Zeliang,3,.0
,660: Tamang,5,.0
,663: Karbi,0,.0
,"670: Dhangad, Dhangar",2,.0
,699: Other STs,386,1.6
