col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,Valid (%),col_11
Valid,,01: Benefitted,,1056,,,5.4,,,19.1,
,,02: Not benefitted,,3121,,,15.9,,,56.5,
,,98: Don’t Know,,1345,,,6.8,,,24.4,
,,Total,,5521,,,28.1,,,100.0,
Missing,,99: Not Applicable,,14142,,,71.9,,,,
Total,,,,19663,,,100.0,,,,
