col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Higher Professionals,,575,,,2.9,,
,,02: Lower Professionals,,714,,,3.6,,
,,03: Government Managerial job,,77,,,.4,,
,,04: Government Administrative job,,94,,,.5,,
,,05: Government Clerical Jobs,,289,,,1.5,,
,,06: Government Class IV,,185,,,.9,,
,,07: Big and Medium Traders,,517,,,2.6,,
,,08: Small Trader,,864,,,4.4,,
,,09: Small/Temporary Business,,668,,,3.4,,
,,10: Service/Service Area,,397,,,2.0,,
,,11: Skilled Workersr,,961,,,4.9,,
,,12: Semi-skilled workers,,394,,,2.0,,
,,13: Wage labourer (non-agriculture),,888,,,4.5,,
,,14: Farmer,,2282,,,11.6,,
