col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
Valid,,01: Congress/INC,,918,,,9.2,,,16.0,,
,,02: BJP/ Bharatiya Janata Party,,3381,,,33.7,,,58.8,,
,,03: BSP/ Bahujan Samaj Party,,112,,,1.1,,,1.9,,
,,04: CPI/ Communist Party of India,,50,,,.5,,,.9,,
,,05: CPI-M/ Communist Party of India Marxist,,42,,,.4,,,.7,,
,,06: CPI-ML/ Communist Party of India Marxist- Leninist,,18,,,.2,,,.3,,
,,07: NCP (Ajit Pawar)/ Nationalist Congress Party,,12,,,.1,,,.2,,
,,08: NCP (Sharad Pawar)/ Nationalist Congress Party,,13,,,.1,,,.2,,
,,09: JDU/ Janata Dal United,,39,,,.4,,,.7,,
,,10: AAP/ Aam Admi Party,,91,,,.9,,,1.6,,
,,11: Shivsena (Eknath Shinde Group),,29,,,.3,,,.5,,
,,12: Shivsena (Uddhav Thackeray Group),,22,,,.2,,,.4,,
,,13: All India Trinamool Congress/AITC,,82,,,.8,,,1.4,,
,,14: All India Majlis-E-Ittehadul Muslimeen/AIMIM,,4,,,.0,,,.1,,
,,15: Telugu Desam Party/TDP,,19,,,.2,,,.3,,
,,16: YuvajanaShramikaRythu Congress Party/ YSRCP,,62,,,.6,,,1.1,,
,,19: Rashtriya Janata Dal/ RJD,,7,,,.1,,,.1,,
,,20: Lok Janshakti Party/LJP,,10,,,.1,,,.2,,
,,21: Lok Janshakti Party Ramvilas/LJP (R),,1,,,.0,,,.0,,
,,24: Jannayak Janta Party / JJP,,1,,,.0,,,.0,,
,,28: Indian Union Muslim League / IUML,,1,,,.0,,,.0,,
,,29: Maharashtra Navnirman Sena /MNS,,0,,,.0,,,.0,,
,,30: BJD/Biju Janata Dal,,10,,,.1,,,.2,,
,,31: Shiromani Akali Dal / SAD,,1,,,.0,,,.0,,
,,33: Bharat Rashtra Samithi /BRS,,3,,,.0,,,.1,,
,,34: All India Anna Dravida MunnetraKazhagam / AIADMK,,12,,,.1,,,.2,,
,,35: Dravida MunnetraKazhagam/ DMK,,63,,,.6,,,1.1,,
,,36: Samajwadi Party / SP,,37,,,.4,,,.6,,
,,38: Jana Sena Party / JSP,,2,,,.0,,,.0,,
,,41: Kerala Congress (M),,1,,,.0,,,.0,,
