col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,Valid (%),col_11
,,Total,,5543,,,28.2,,,100.0,
Missing,,99: Not Applicable,,14120,,,71.8,,,,
Total,,,,19663,,,100.0,,,,
