col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Politics and issues are very different in the south and north regions of the country,,8167,,,41.5,
,,02: There is no such difference and politics and issues are the same everywhere,,5505,,,28.0,
,,98. Don’t Know/Can’t Say,,5990,,,30.5,
,,Total,,19663,,,100.0,
