col_0,col_1,N,(%),col_4,Valid,col_6
,,,,,(%),
,060: All India Majlis -e- Ittehadul Muslimeen (AIMIM),67,.3,.4,,
,061: Shiv Sena (UBT),134,.7,.7,,
,062: Shiv Sena (SHS),112,.6,.6,,
,063: Nationalist Congress Party(Ajit Pawer),57,.3,.3,,
,064: Nationalist Congress Party Sharadchandra Pawar,185,.9,1.0,,
,065: Vanchit Bahujan Aghadi,60,.3,.3,,
,072: Biju Janata Dal,309,1.6,1.7,,
,076: Shiromani Akali Dal,73,.4,.4,,
,077: United Akali Dal,3,.0,.0,,
,081: Rashtriya Loktantrik Party,53,.3,.3,,
,082: Bharat Adivasi Party,42,.2,.2,,
,086: All India Anna Dravida Munnetra Kazhagam,233,1.2,1.3,,
,087: Dravida Munnetra Kazhagam,241,1.2,1.3,,
,089: Desiya Murpokku Dravida Kazhagam,118,.6,.6,,
,093: Viduthalai Chiruthaigal Katchi,12,.1,.1,,
,095: Pattali Makkal Katchi,199,1.0,1.1,,
,096: Amma Makkal Munnettra Kazhagam,11,.1,.1,,
,102: Naam Tamilar Katchi,192,1.0,1.0,,
,104: Bharat Rashtra Samithi,137,.7,.7,,
,110: Uttarakhand Kranti Dal,1,.0,.0,,
,111: Samajwadi Party,968,4.9,5.3,,
,112: All India Trinamool Congress,1000,5.1,5.4,,
,113: Socialist Unity Centre of India (SUCI),1,.0,.0,,
,114: Rashtriya Lok Dal,17,.1,.1,,
,116: Apna Dal,68,.3,.4,,
,141: Uttarakhand Kranti Dal,3,.0,.0,,
,143: Indian Secular Front (ISF),10,.0,.1,,
,995: NOTA,211,1.1,1.1,,
,996: Independent,129,.7,.7,,
,997: Any other,76,.4,.4,,
,998: Not disclosed,92,.5,.5,,
,Total,18393,93.5,100.0,,
