col_0,col_1,col_2,col_3,col_4,N,(%),col_7
,,01: No,,1252,,12.5,
,,02: Yes,,8176,,81.6,
,,03: Divorced,,79,,.8,
,,04: Widowed,,277,,2.8,
,,05: Separated,,67,,.7,
,,98: Did not answer,,168,,1.7,
,,Total,,10019,,100.0,
