col_0,col_1,N,(%)
,01: Ashok Gehlot (Cong),237,30.5
,02: Sachin Pilot (Cong),76,9.8
,03: Vasundhara Raje (BJP),154,19.8
,04: C P Joshi (Cong),7,.9
,05: Shanti Dhariwal (Cong),5,.6
,07: Hanuman Beniwal (RLP),23,3.0
,08: Gulab Chand Kataria (BJP),32,4.1
,09: Rajyavardhan Rathore (BJP),19,2.5
,10: Kirori Lal Meena (BJP),8,1.0
,11: Gajendra Singh (BJP),8,1.0
,12: Arjun Ram Meghwal (BJP),3,.4
,13: Manvendra Singh (Cong),24,3.1
,25: Other Cong leaders,1,.1
,26: Other BJP leaders,12,1.5
,95: Other leaders,86,11.1
,97: Can’t say,40,5.2
,98: No response,42,5.4
,Total,775,100.0
