col_0,col_1,col_2,N,col_4,col_5,(%),col_7
,,01: The Central government did its best in handling the situation and brought everything under control,1678,,16.7,,
,,02: The Central government did not do anything to handle the situation,2493,,24.9,,
,,03: The central government did try to handle the conflict but failed,1339,,13.4,,
,,98: Don‟t know,2436,,24.3,,
,,99: Have not heard about Manipur ethnic conflict,2072,,20.7,,
,,Total,10019,,100.0,,
