col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Doordarshan,,1172,,,6.0,,
,,02: Aaj Tak/India Today/Tez/Tak,,2203,,,11.2,,
,,03: Zee,,1222,,,6.2,,
,,04: NDTV,,1072,,,5.4,,
,,05: News18,,1265,,,6.4,,
,,06: ABP,,1562,,,7.9,,
,,07: Republic,,359,,,1.8,,
,,08: Times Now/Navbharat,,58,,,.3,,
,,09: TV9,,1601,,,8.1,,
,,10: NewsX/India News,,36,,,.2,,
,,11: India TV,,275,,,1.4,,
,,12: News Nation,,60,,,.3,,
,,13: News 24,,392,,,2.0,,
,,14: News State,,30,,,.2,,
,,15: Total TV,,15,,,.1,,
,,16: IBC24,,30,,,.2,,
,,17: Bharat Samachar,,32,,,.2,,
,,18: Sudarshan News,,11,,,.1,,
,,19: BBC,,123,,,.6,,
,,20: ETV,,370,,,1.9,,
,,21: Bansal news,,5,,,.0,,
,,22: Kashish News,,9,,,.0,,
,,23: First India News,,17,,,.1,,
,,97: Any other news channel not given above (Specify),,1974,,,10.0,,
,,98: Can’t say/ Don’t Know,,1754,,,8.9,,
,,99: Did not watch any channel,,4015,,,20.4,,
,,Total,,19663,,,100.0,,
