col_0,col_1,N,(%),col_4,Valid,col_6
,,,,,(%),
,12: Shivsena (Uddhav Thackeray Group),68,.3,.8,,
,13: All India Trinamool Congress/AITC,486,2.5,5.6,,
,14: All India Majlis-E-Ittehadul Muslimeen/AIMIM,73,.4,.8,,
,15: Telugu Desam Party/TDP,88,.4,1.0,,
,16: YuvajanaShramikaRythu Congress Party/ YSRCP,88,.4,1.0,,
,19: Rashtriya Janata Dal/ RJD,94,.5,1.1,,
,20: Lok Janshakti Party/LJP,4,.0,.0,,
,21: Lok Janshakti Party Ramvilas/LJP (R),7,.0,.1,,
,23: Indian National Lok Dal / INLD,3,.0,.0,,
,24: Jannayak Janta Party / JJP,2,.0,.0,,
,25: Jharkhand Mukti Morcha / JMM,25,.1,.3,,
,27: Janata Dal (Secular) / JDS,8,.0,.1,,
,28: Indian Union Muslim League / IUML,24,.1,.3,,
,30: BJD/Biju Janata Dal,59,.3,.7,,
,31: Shiromani Akali Dal / SAD,41,.2,.5,,
,33: Bharat Rashtra Samithi /BRS,57,.3,.7,,
,34: All India Anna Dravida MunnetraKazhagam / AIADMK,64,.3,.7,,
,35: Dravida MunnetraKazhagam/ DMK,25,.1,.3,,
,36: Samajwadi Party / SP,290,1.5,3.3,,
,37: Rashtriya Lok Dal / RLD,7,.0,.1,,
,38: Jana Sena Party / JSP,4,.0,.0,,
,42: Apna Dal (Sonelal),9,.0,.1,,
,997: Other regional parties,256,1.3,2.9,,
,998: No response/Undecided,240,1.2,2.7,,
,Total,8753,44.5,100.0,,
Missing,999: Not applicable,10910,55.5,,,
Total,,19663,100.0,,,
