col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Very easy,,1901,,,9.7,,,11.9,,
,,02: Easy,,5558,,,28.3,,,34.8,,
,,03: Difficult,,5710,,,29.0,,,35.7,,
,,04: Very difficult,,2236,,,11.4,,,14.0,,
,,98: No response,,575,,,2.9,,,3.6,,
,,Total,,15980,,,81.3,,,100.0,,
Missing,,99: Not applicable,,3683,,,18.7,,,,,
Total,,,,19663,,,100.0,,,,,
