col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Welfare Schemes,,1812,,,18.1,,
,,02: Hindutva/Ram Mandir,,1409,,,14.1,,
,,03: Nationalism and international image,,413,,,4.1,,
,,04: Improved financial condition of household,,404,,,4.0,,
,,05: Financial condition of household deteriorated,,441,,,4.4,,
,,06: Employment opportunity,,394,,,3.9,,
,,07: Unemployment,,933,,,9.3,,
,,08: Good governance,,353,,,3.5,,
,,09: Bad governance,,202,,,2.0,,
,,10: Falling income,,241,,,2.4,,
,,11: Price rise,,774,,,7.7,,
,,12: Good handling of corruption,,106,,,1.1,,
