col_0,col_1,01: No,col_3,col_4,col_5,col_6,col_7,02: Yes,col_9,col_10,col_11,col_12,col_13,Total,col_15,col_16,col_17,col_18
,,N,,,(%),,,N,,,(%),,,N,,,(%),
l: Internet connection in the house ( Excluding mobile phone),15488,,,78.8,,,4175,,,21.2,,,19663,,,100.0,,
m: Toilet inside the house,4075,,,20.7,,,15588,,,79.3,,,19663,,,100.0,,
n: (If village) Pumping set,10161,,,74.9,,,3406,,,25.1,,,13567,,,100.0,,
o: (If village) Tractor?,11679,,,86.1,,,1888,,,13.9,,,13567,,,100.0,,
