col_0,col_1,N,(%),Valid (%)
,97: Don't know,133,1.3,3.9
,98: No response,268,2.7,7.8
,Total,3419,34.2,100.0
Missing,99: Not applicable,6591,65.8,
Total,,10010,100.0,
