col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,12: Education,,105,,,1.0,
,,13: Issue related to Farmers,,278,,,2.8,
,,14: Promoting communalism/religious discrimination,,319,,,3.2,
,,15: Lack of handling of crimes against women,,85,,,.8,
,,16: Bad situation of law and order,,50,,,.5,
,,17: CAA (Citizenship Amendment Act),,124,,,1.2,
,,96: Like any work,,526,,,5.2,
,,97: Other issue not mentioned above,,96,,,1.0,
,,98: Can‟t say/don‟t know,,1120,,,11.2,
,,Total,,10019,,,100.0,
